Square_Feet,Bedrooms,Age_of_House,Price
2748,2,18,414200
2430,2,17,367500
2823,2,5,438450
3261,3,20,506633
2382,4,0,448508
2382,2,8,404006
3289,4,0,533350
2883,2,30,422450
2265,2,12,351568
2771,3,36,409650
2268,3,23,347200
2267,3,19,351050
2620,1,9,394000
1543,2,4,247450
1637,3,20,255550
2218,3,14,380732
1993,1,1,307950
2657,3,0,462891
2045,2,5,351695
1793,4,33,275950
3232,4,37,537827
2387,3,17,408209
2533,4,16,403950
1787,3,11,287050
2227,3,5,413911
2555,4,28,406850
1924,3,33,337834
2687,2,6,417050
2199,1,14,330774
2354,2,10,363100
2199,3,10,349850
3426,3,26,553591
2493,3,1,489907
1971,2,19,296650
2911,1,22,424650
1889,2,13,290350
2604,2,23,387600
1520,2,16,280927
1835,3,27,278250
2598,4,0,435797
2869,3,11,480358
2585,2,14,393750
2442,2,0,386300
2349,3,4,378350
1760,2,6,278000
2140,3,24,332399
2269,3,7,413196
3028,3,6,478200
2671,3,23,407650
1618,3,0,275162
2662,1,0,409300
2307,3,11,366637
2161,2,0,360170
2805,1,0,430750
3015,1,20,476742
2965,3,23,451750
2080,2,22,310000
2345,1,26,335750
2665,3,27,402750
2987,1,0,542747
2260,3,19,365963
2407,3,9,427284
1946,3,7,322447
1901,4,20,336150
2906,1,0,466768
3178,2,0,509422
2463,2,21,423807
3001,3,19,468975
2680,3,16,530257
2177,2,6,388576
2680,2,22,400000
3269,1,21,479350
2482,3,15,407153
3282,3,3,521524
1190,3,10,232843
2910,2,23,473350
2543,2,28,373450
2350,1,11,415553
2545,3,12,399750
1506,1,13,222900
2390,4,17,381500
2678,1,9,443128
3238,3,0,515700
2240,4,26,350000
2095,3,32,312250
2249,3,8,359350
2957,2,4,459550
2664,1,13,396600
2235,3,13,352250
2756,4,24,462609
2548,2,15,414893
2984,1,7,513437
2148,1,1,382898
2336,2,23,347400
2303,2,20,346403
1768,4,25,280200
2648,3,5,422200
2630,3,33,391500
2502,2,0,395300
2382,2,22,355300
